time_s,pressure_Pa
0,101325.0
1,94660.22
2,88460.48
3,82693.62
4,77329.67
5,72340.66
6,67700.51
7,63384.92
8,59371.25
9,55638.39
10,52166.7
11,48937.87
12,45934.87
13,43141.85
14,40544.07
15,38127.8
16,35880.3
17,33789.7
18,31844.98
19,30035.9
20,28352.95
21,26787.29
22,25330.71
23,23975.59
24,22714.88
25,21542.01
26,20450.89
27,19435.9
28,18491.79
29,17613.72
30,16797.21
31,16038.09
32,15332.51
33,14676.93
34,14068.03
35,13502.78
36,12978.36
37,12492.18
38,12041.85
39,11625.15
40,11240.05
41,10884.69
42,10557.34
43,10256.45
44,9980.56
45,9728.38
46,9498.7
47,9290.44
48,9102.63
49,8934.38
50,8784.92
51,8653.56
52,8539.67
53,8442.75
54,8362.34
55,8298.08
56,8249.67
57,8216.89
58,8199.59
59,8197.69
60,8211.19
61,8240.14
62,8284.68
63,8345.0
64,8421.4
65,8514.21
66,8623.86
67,8750.86
68,8895.8
69,9059.34
70,9242.25
71,9445.37
72,9669.67
73,9916.2
74,10186.12
75,10480.72
76,10801.39
77,11149.69
78,11527.29
79,11936.01
80,12377.85
81,12854.97
82,13369.72
83,13924.65
84,14522.5
85,15166.28
86,15859.2
87,16604.76
88,17406.74
89,18269.22
90,19196.6
91,20193.64
92,21265.47
93,22417.63
94,23656.08
95,24987.27
96,26418.13
97,27956.15
98,29609.37
99,31386.48
100,33296.82
101,35350.44
102,37558.17
103,39931.65
104,42483.42
105,45226.94
106,48176.71
107,51348.3
108,54758.43
109,58425.09
110,62367.59
111,66606.65
112,71164.54
113,76065.14
114,81334.08
115,86998.84
116,93088.9
117,99635.85
118,101325.0
119,101325.0
120,101325.0
