timestamp,data_hex
2025-12-19T15:44:43.295909,Checksum mismatch
2025-12-19T15:44:43.295947,Raw data: d10100ebda87421a7dc34746e0c2417b142e3f1f856bbeb81e214100000cc00000214100809441000080bd000040be0000803d00d50092
2025-12-19T15:44:43.295952,Expected checksum: 47, Received checksum: 92
2025-12-19T15:44:43.295954,Checksum mismatch
2025-12-19T15:44:43.295957,Raw data: d20100a5208a425976c34746e0c241c3f5283f000080be85eb2141000088bf0000214100009b410000003e000000be000080bd00d50031
2025-12-19T15:44:43.295959,Expected checksum: E4, Received checksum: 31
2025-12-19T15:44:43.295961,Checksum mismatch
2025-12-19T15:44:43.295963,Raw data: d30100d55d89429c78c3479ccdc2416666263f8fc275be8fc221410000b0bf000014410080a441000000be000000000000803d00d500ad
2025-12-19T15:44:43.295966,Expected checksum: 78, Received checksum: AD
2025-12-19T15:44:43.295968,Checksum mismatch
2025-12-19T15:44:43.295970,Raw data: d40100bfe08a421e74c347f1d6c241c3f5283f1f856bbe713d2241000080be00000e4100009b41000000000000403e000080bd00d500a1
2025-12-19T15:44:43.295973,Expected checksum: 74, Received checksum: A1
2025-12-19T15:44:43.295975,Checksum mismatch
2025-12-19T15:44:43.295977,Raw data: d50100d55d89429c78c34746e0c2411f852b3f000080be713d2241000030bf000014410000984100000000000000000000000000d5004e
2025-12-19T15:44:43.295980,Expected checksum: 9B, Received checksum: 4E
2025-12-19T15:44:43.295982,Checksum mismatch
2025-12-19T15:44:43.295984,Raw data: d60100a5208a425976c347f0f2c241c3f5283fb81e85be85eb21410000b0bf00001b4100009e410000803d0000003e0000000000d5000b
2025-12-19T15:44:43.295986,Expected checksum: DE, Received checksum: 0B
2025-12-19T15:44:43.295988,Checksum mismatch
2025-12-19T15:44:43.295990,Raw data: d701003dbf89427a77c3479ccdc2411f852b3f1f856bbecdcc2041000030bf0000144100009e410000803d000000000000803d00d50060
2025-12-19T15:44:43.295993,Expected checksum: B5, Received checksum: 60
2025-12-19T15:44:43.295995,Checksum mismatch
2025-12-19T15:44:43.295997,Raw data: d801003dbf89427a77c34747c4c241c3f5283f000080beae4721410000b0bf00002c41000098410000803d00000000000080bd00d500b4
2025-12-19T15:44:43.295999,Expected checksum: 61, Received checksum: B4
2025-12-19T15:44:43.296001,Checksum mismatch
2025-12-19T15:44:43.296003,Raw data: d90100d55d89429c78c34747c4c2416666263f1f856bbed7a320410000e0bf00000e4100009e41000080bd000080bd000080bd00d5004a
2025-12-19T15:44:43.296006,Expected checksum: 9F, Received checksum: 4A
2025-12-19T15:44:43.296008,Checksum mismatch
2025-12-19T15:44:43.296010,Raw data: da01003dbf89427a77c34747c4c2411f852b3f1f856bbeae472141000030bf0000264100009e41000000000000803d0000803d00d50064
2025-12-19T15:44:43.296012,Expected checksum: B1, Received checksum: 64
2025-12-19T15:44:43.296014,Checksum mismatch
2025-12-19T15:44:43.296016,Raw data: db010022ff8842b579c347f1d6c241c3f5283f8fc275be7b1422410000b0bf00001b410080a141000080bd000080bd0000803d00d50002
2025-12-19T15:44:43.296019,Expected checksum: D7, Received checksum: 02
2025-12-19T15:44:43.296021,Checksum mismatch
2025-12-19T15:44:43.296023,Raw data: dc010022ff8842b579c3479ccdc241c3f5283fae4761be713d22410000b0bf0000214100009b41000080bd0000003e0000803d00d50063
2025-12-19T15:44:43.296026,Expected checksum: B6, Received checksum: 63
2025-12-19T15:44:43.296028,Checksum mismatch
2025-12-19T15:44:43.296029,Raw data: dd0100d55d89429c78c347f1d6c241c3f5283f1f856bbe66662241000088bf0000214100009e4100000000000000be000000be00d500de
2025-12-19T15:44:43.296032,Expected checksum: 0B, Received checksum: DE
2025-12-19T15:44:43.296034,Checksum mismatch
2025-12-19T15:44:43.296036,Raw data: de0100d55d89429c78c3479ccdc2410ad7233f8fc275be85eb2141000088bf0000214100009e41000080bd0000803d0000000000d5006f
2025-12-19T15:44:43.296039,Expected checksum: BA, Received checksum: 6F
2025-12-19T15:44:43.296041,Sent reset command
2025-12-19T15:44:43.296043,Started sending binary file obc2.bin...
2025-12-19T15:44:43.296045,Sent packet 1/275 (64 bytes)
2025-12-19T15:44:43.296047,Sent packet 2/275 (64 bytes)
2025-12-19T15:44:43.296049,Sent packet 3/275 (64 bytes)
2025-12-19T15:44:43.296051,Sent packet 4/275 (64 bytes)
2025-12-19T15:44:43.296053,Sent packet 5/275 (64 bytes)
2025-12-19T15:44:43.296055,Sent packet 6/275 (64 bytes)
2025-12-19T15:44:43.296057,Sent packet 7/275 (64 bytes)
2025-12-19T15:44:43.296059,Sent packet 8/275 (64 bytes)
2025-12-19T15:44:43.296061,Sent packet 9/275 (64 bytes)
2025-12-19T15:44:43.296063,Sent packet 10/275 (64 bytes)
2025-12-19T15:44:43.296065,Sent packet 11/275 (64 bytes)
2025-12-19T15:44:43.296067,Sent packet 12/275 (64 bytes)
2025-12-19T15:44:43.296069,Sent packet 13/275 (64 bytes)
2025-12-19T15:44:43.296071,Sent packet 14/275 (64 bytes)
2025-12-19T15:44:43.296072,Sent packet 15/275 (64 bytes)
2025-12-19T15:44:43.296074,Sent packet 16/275 (64 bytes)
2025-12-19T15:44:43.296076,Sent packet 17/275 (64 bytes)
2025-12-19T15:44:43.296078,Sent packet 18/275 (64 bytes)
2025-12-19T15:44:43.296080,Sent packet 19/275 (64 bytes)
2025-12-19T15:44:43.296081,Sent packet 20/275 (64 bytes)
2025-12-19T15:44:43.296084,Sent packet 21/275 (64 bytes)
2025-12-19T15:44:43.296086,Sent packet 22/275 (64 bytes)
2025-12-19T15:44:43.296088,Sent packet 23/275 (64 bytes)
2025-12-19T15:44:43.296090,Sent packet 24/275 (64 bytes)
